last_scraped,name,neighbourhood_cleansed,latitude,longitude,price
9/23/2022,Comfy clean Roøm @Cozy apartment,Cuauhtémoc,19.41017,-99.17886,$659.00 
9/22/2022,Explore the City's Historic Center,Cuauhtémoc,19.42454,-99.13845,$500.00 
9/22/2022,"Cozy, chic & peaceful  apartment.",Benito Juárez,19.38148,-99.18216,$600.00 
9/23/2022,"Condesa, ideal for tourism or remote work",Cuauhtémoc,19.40836,-99.1733,"$1,569.00 "
9/23/2022,Prívate apartment next to public transport,Benito Juárez,19.39829,-99.13817,$420.00 
9/23/2022,Chic Room in Luxury Polanco,Miguel Hidalgo,19.42903,-99.19238,"$2,496.00 "
9/22/2022,Nice and cozy room with terrace!!!!,La Magdalena Contreras,19.33036,-99.21737,$800.00 
9/23/2022,"CITY CENTER 2BR,  SECURE, City Tours, Lap Pool 416",Cuauhtémoc,19.43432,-99.14581,"$1,258.00 "
9/23/2022,Habitación disponible,Miguel Hidalgo,19.40288,-99.17884,$561.00 
9/23/2022,Departamento  Roma Norte- Sanitizado,Cuauhtémoc,19.42675,-99.1613,$759.00 
9/23/2022,HOUSE INDIGO IN THE CEN. OF MEX CITY,Cuauhtémoc,19.44324,-99.14649,"$2,796.00 "
9/22/2022,SPOTLESS beautiful sunny loft in Del Valle,Benito Juárez,19.38015,-99.17402,$980.00 
9/23/2022,Spacious 60´s / San Rafael-Reforma check in 24hrs,Cuauhtémoc,19.43898,-99.16142,$749.00 
9/23/2022,Modern Suite in Roma Mansion,Cuauhtémoc,19.41701,-99.1658,"$1,700.00 "
9/22/2022,Great location & security single bedroom Apartment,Benito Juárez,19.36926,-99.1804,$290.00 
9/22/2022,Luxury Room for rent in Santa Fe area México City,Miguel Hidalgo,19.38875,-99.24067,"$1,143.00 "
9/23/2022,"Deluxe 4-BR penthouse, views, historic center",Cuauhtémoc,19.43621,-99.13874,"$3,734.00 "
9/23/2022,Fancy Furnished Apartment & Great Location,Cuauhtémoc,19.42029,-99.17323,"$1,438.00 "
9/23/2022,For Foreign business guest+WiFi+Spa+Pool+Jacuzzi+,Cuauhtémoc,19.427969,-99.161293,"$1,379.00 "
9/23/2022,"Fabulous 3BR penthouse, Views, Historic Center",Cuauhtémoc,19.43651,-99.13905,"$6,011.00 "
9/23/2022,The best cheap flat in La Condesa!!,Cuauhtémoc,19.41578,-99.17425,"$1,400.00 "
9/23/2022,Charming loft near Reforma Ave.,Miguel Hidalgo,19.42833,-99.17634,$972.00 
9/22/2022,Nice big room near airport,Venustiano Carranza,19.43784,-99.07903,$550.00 
9/22/2022,Habitación  Frida - cocina y balcón  compartido,Benito Juárez,19.38021,-99.16878,$750.00 
9/22/2022,Beautiful  bedroom in Mexico City near Sta Fe,Álvaro Obregón,19.38552,-99.22276,$500.00 
9/23/2022,Beautiful Colonia Roma apartment,Cuauhtémoc,19.41588,-99.15981,"$2,282.00 "
9/23/2022,Roma Condesa Espectacular Home,Cuauhtémoc,19.41887,-99.17333,"$3,620.00 "
9/23/2022,Location: Sunny & Cozy 2bedrms 1.5baths,Cuauhtémoc,19.4144,-99.17742,"$1,061.00 "
9/22/2022,Short/Long Term near Coyoacan&Cntr Nat delas Artes,Iztapalapa,19.35796,-99.12219,$600.00 
9/23/2022,"Nuevo Polanco, increíble ubicación! (Hab Priv)",Miguel Hidalgo,19.4419,-99.20079,$750.00 
9/22/2022,SUPER CLEAN great sunny apartment in Del Valle,Benito Juárez,19.37845,-99.17221,$697.00 
9/23/2022,New Suite in Vintage Home in Roma/Condesa,Cuauhtémoc,19.41709,-99.16603,"$1,800.00 "
