nombre_col,num_code,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado,no_airbnb,no_starbucks,airbnb_mean_price,flag_airbnb,flag_starbucks,valor_unitario_pred,cambio_porcentual
EMILIANO ZAPATA (U HAB),15960,5921.31,19.43277954,-99.12013489,Venustiano Carranza,CDMX,15,0,651.4,,,5921.31,0%
ALTILLO (COND ALTILLO ACASULCO),4350,9185.15,19.34175893,-99.18117854,Coyoacán,CDMX,127,0,1007.692913,,,9185.15,0%
LOMAS DE REFORMA,11950,8310.55702,19.40322,-99.2344659,Miguel Hidalgo,CDMX,13,1,2108.384615,,,8310.55702,0%
CONJUNTO URBANO CUEMANCO (U HAB),14336,5756.117072,19.29709272,-99.10539591,Tlalpan,CDMX,12,0,843.1666667,,,5756.117072,0%
PANTITLAN V,8100,6925,19.40632585,-99.06049633,Iztacalco,CDMX,26,0,569.1923077,,,6925,0%
GUADALUPE INN,1000,10104.41464,19.35370526,-99.18677334,Álvaro Obregón,CDMX,79,2,1563.265823,,,10104.41464,0%
LOMAS ALTAS,11950,6148.034089,19.3976453,-99.23225212,Miguel Hidalgo,CDMX,16,0,1795.5,,,6148.034089,0%
SAN ANGEL INN,1000,7740.471654,19.34905528,-99.1979807,Álvaro Obregón,CDMX,69,1,1469.115942,,,7740.471654,0%
LOMAS DE SANTA FE,1210,5086.32,19.38676554,-99.24107122,Álvaro Obregón,CDMX,19,0,1073.421053,,,5086.32,0%
OXTOPULCO UNIVERSIDAD,4000,8298.550498,19.34118117,-99.18301045,Coyoacán,CDMX,126,0,1018.531746,,,8298.550498,0%
MOLINO DEL REY,11040,6411.944091,19.42349073,-99.20328567,Miguel Hidalgo,CDMX,73,0,3314.068493,,,6411.944091,0%
PERIODISTA,11220,6002.649765,19.44805887,-99.21876781,Miguel Hidalgo,CDMX,49,0,851.3061224,,,6002.649765,0%
SAUZALES CEBADALES (U HAB),14390,5247.701136,19.29810807,-99.11076899,Tlalpan,CDMX,26,0,750.5769231,,,5247.701136,0%
BOSQUES DE CHAPULTEPEC (POLANCO),11590,18326.20842,19.42983678,-99.1888266,Miguel Hidalgo,CDMX,596,3,2679.64094,,,18326.20842,0%
LOMAS DE PLATEROS (U HAB) I,1000,4675.73,19.36745721,-99.20589372,Álvaro Obregón,CDMX,15,0,514.9333333,,,4675.73,0%
TAXQUENA,4250,6954.33,19.33931492,-99.12324162,Coyoacán,CDMX,51,0,684.1764706,,,6954.33,0%
LOMAS DE BEZARES,11940,5654.627436,19.39174301,-99.24135089,Miguel Hidalgo,CDMX,27,0,1194.740741,,,5654.627436,0%
CENTRO II,15900,4771.525779,19.42649499,-99.12186725,Venustiano Carranza,CDMX,6,0,548.8333333,,,4771.525779,0%
ALTILLO (COND ALTILLO UNIVERSIDAD),4350,7858.128654,19.34077991,-99.180647,Coyoacán,CDMX,130,0,948.2538462,,,7858.128654,0%
FUENTES DEL PEDREGAL,14738,5336.174726,19.30504319,-99.22535441,Tlalpan,CDMX,41,0,1236.195122,,,5336.174726,0%
CANDELARIA DELOS PATOS (U HAB),15900,4700.64,19.42954393,-99.12170074,Venustiano Carranza,CDMX,12,0,946.3333333,,,4700.64,0%
