nombre_col,codigo_postal,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado
HUAUTLA DE LAS SALINAS (BARR),2300,2369.732353,19.48909866,-99.15935532,Azcapotzalco,CDMX
IGNACIO ALLENDE,2810,1832.42,19.46670068,-99.16188621,Azcapotzalco,CDMX
INDUSTRIAL VALLEJO (U HAB),2300,2417.89196,19.49616178,-99.16384763,Azcapotzalco,CDMX
ISSFAM LAS ARMAS (U HAB),2710,1789.82,19.48616026,-99.21597044,Azcapotzalco,CDMX
JARDIN AZPEITIA,2530,2513.214805,19.47407224,-99.17469598,Azcapotzalco,CDMX
JARDINES CEYLAN (U HAB),2300,2697.52,19.48241713,-99.16466686,Azcapotzalco,CDMX
LA PRECIOSA,2160,1989.34,19.48617559,-99.19381003,Azcapotzalco,CDMX
LA RAZA,2960,2160.292939,19.46569763,-99.14746913,Azcapotzalco,CDMX
LAS SALINAS,2000,2697.52,19.48793497,-99.16482103,Azcapotzalco,CDMX
LIBERACION,2900,1841.702363,19.47058376,-99.15239872,Azcapotzalco,CDMX
LIBERTAD,2020,2322.434585,19.47856576,-99.17766604,Azcapotzalco,CDMX
LOS REYES (BARR),2000,2355,19.48547447,-99.18226478,Azcapotzalco,CDMX
MANUEL RIVERA ANAYA CROC I (U HAB),2109,2541.94,19.51038031,-99.19428545,Azcapotzalco,CDMX
MIGUEL HIDALGO (U HAB),2450,2597.24,19.49366841,-99.19874158,Azcapotzalco,CDMX
MONTE ALTO,2640,2581.3,19.47994576,-99.15628844,Azcapotzalco,CDMX
NEXTENGO (BARR),2000,2748.99,19.47469249,-99.18826266,Azcapotzalco,CDMX
NUEVA EL ROSARIO,2100,2541.94,19.50196908,-99.18975335,Azcapotzalco,CDMX
NUEVA ESPAA,2110,2541.94,19.49785901,-99.18640764,Azcapotzalco,CDMX
NUEVA SANTA MARIA,2800,2715.378543,19.46287098,-99.16805446,Azcapotzalco,CDMX
NUEVO SAN RAFAEL (BARR),2010,2354.24,19.48905669,-99.18796779,Azcapotzalco,CDMX
OBRERO POPULAR,2600,2567.558254,19.46416526,-99.17476281,Azcapotzalco,CDMX
PANTACO (U HAB),2020,2714.55,19.48577501,-99.17307322,Azcapotzalco,CDMX
PASTEROS,2000,1878.83,19.49392413,-99.19562088,Azcapotzalco,CDMX
PATRIMONIO FAMILIAR,2480,2318.07,19.46739688,-99.14978997,Azcapotzalco,CDMX
PEMEX PRADOS DEL ROSARIO (U HAB),2410,3520.384841,19.50417488,-99.20757956,Azcapotzalco,CDMX
PETROLERA,2480,2362.54,19.48529726,-99.19934296,Azcapotzalco,CDMX
PLENITUD,2099,2385.164547,19.4731873,-99.19578087,Azcapotzalco,CDMX
PORVENIR,2600,1902.921315,19.4710237,-99.14681958,Azcapotzalco,CDMX
POTRERO DEL LLANO,2670,2662.226571,19.47477024,-99.16031115,Azcapotzalco,CDMX
PRADOS DEL ROSARIO,2410,2226.12,19.50362987,-99.20951084,Azcapotzalco,CDMX
PRESIDENTE MADERO (U HAB),2140,2597.24,19.49583826,-99.20187357,Azcapotzalco,CDMX
PRO HOGAR I,2600,3157.267213,19.47498756,-99.15048801,Azcapotzalco,CDMX
PRO HOGAR II,2600,3050.6498,19.47636895,-99.15582763,Azcapotzalco,CDMX
PROVIDENCIA,2070,1747.66,19.49273079,-99.21143197,Azcapotzalco,CDMX
REYNOSA TAMAULIPAS,2120,2541.94,19.49406918,-99.18750915,Azcapotzalco,CDMX
ROSENDO SALAZAR (CONJ HAB),2000,2597.24,19.48705169,-99.20581468,Azcapotzalco,CDMX
SAN  MIGUEL AMANTLA (PBLO),2700,1761.11,19.47585628,-99.20438426,Azcapotzalco,CDMX
SAN ALVARO,2090,2549.654815,19.46126471,-99.18325852,Azcapotzalco,CDMX
SAN ANDRES (BARR),2020,2541.94,19.49195661,-99.18015759,Azcapotzalco,CDMX
SAN ANDRES (PBLO),2200,2541.94,19.49319643,-99.18398435,Azcapotzalco,CDMX
SAN ANDRES DE LAS SALINAS (PBLO),2300,2316.270145,19.49003982,-99.15434829,Azcapotzalco,CDMX
SAN ANTONIO (FRACC),2000,2355.775591,19.48010729,-99.20494897,Azcapotzalco,CDMX
SAN BARTOLO CAHUALTONGO (PBLO),2070,2362.54,19.48183029,-99.20024135,Azcapotzalco,CDMX
SAN BERNABE (BARR),2800,2969.598796,19.46793636,-99.17358688,Azcapotzalco,CDMX
SAN FRANCISCO TETECALA (PBLO),2000,2491.42667,19.48087994,-99.19117268,Azcapotzalco,CDMX
SAN FRANCISCO XOCOTITLA,2940,2117.98,19.46868604,-99.14712898,Azcapotzalco,CDMX
SAN JUAN TLIHUACA (PBLO),2400,2597.24,19.49145016,-99.2033748,Azcapotzalco,CDMX
SAN MARCOS (BARR),2009,2541.94,19.48824211,-99.18237691,Azcapotzalco,CDMX
SAN MARTIN XOCHINAHUAC (PBLO),2120,2541.94,19.49846348,-99.19471954,Azcapotzalco,CDMX
SAN MATEO,2000,2662.532846,19.48304562,-99.19127777,Azcapotzalco,CDMX
SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2020,2541.94,19.50105631,-99.1856052,Azcapotzalco,CDMX
SAN PABLO XALPA (U HAB),2000,2541.94,19.50520425,-99.18604254,Azcapotzalco,CDMX
SAN PEDRO XALPA (AMPL) I,2710,1820.21,19.48056601,-99.21629359,Azcapotzalco,CDMX
SAN PEDRO XALPA (AMPL) II,2710,1820.21,19.47585914,-99.21705681,Azcapotzalco,CDMX
SAN PEDRO XALPA (PBLO),2470,1789.82,19.48432715,-99.20937116,Azcapotzalco,CDMX
SAN RAFAEL,2010,2354.24,19.48654804,-99.18771296,Azcapotzalco,CDMX
SAN SALVADOR XOCHIMANCA,2870,2758.299531,19.46002021,-99.17323152,Azcapotzalco,CDMX
SAN SEBASTIAN,2000,2541.94,19.48061134,-99.17636377,Azcapotzalco,CDMX
SANTA APOLONIA (BARR),2770,2353.03,19.4755338,-99.19158928,Azcapotzalco,CDMX
